t1;t2;t3;t4;t5;t6;t7;t8;t9;R10;R20;R30;eps
9.23;13.26;16.47;13.34;14.74;19.49;21.2;19.15;18.51;39.2;33;104.2;-0.716060417
9.74;10.6;13.78;15.9;12.83;14.68;15.98;20.54;19.42;44.9;38.3;79.1;9.721590521
5.63;11.76;12.54;15.36;17.24;19.06;16.55;21.18;23.99;8.2;6.8;86.5;3.05924146
4.43;10.32;10.49;16.35;20.93;20.99;20.18;21.35;19.46;14.9;54.9;51.7;-15.6031076
6.55;11.62;12.38;15.17;13.69;15.59;16.48;18.94;20.5;14.3;97.2;53.7;7.234543337
7.22;13.39;11.62;13.05;16.18;24.05;18.96;19.65;20.03;16.1;26.9;61.1;1.172194275
9.36;10.65;11.77;10.93;15.95;18.66;20.07;18.78;24.98;8.4;22.6;62;1.309845214
8.81;8.42;11.45;13.09;19.6;24.55;23.18;25.02;22.87;19.5;10.1;43.8;-6.352503848
9.27;12.47;12.39;11.95;15.36;17.22;18.53;22.09;22.71;61.9;29.4;38;8.341109485
10.08;9.33;11.39;12.72;16.11;18.78;21.83;20.72;25.13;5;81.1;78;-1.977201971
10.51;9.69;12.07;17.03;16.89;18.56;22.22;24.23;21.12;11;61.3;77.2;-2.939551033
7.81;8.29;12.91;12.35;17.56;20.33;22.51;21.46;20.01;45.2;35.8;72.7;6.798099906
9.02;12.12;18.5;22.75;21.37;18.4;20.97;25.36;23.69;6.2;40.1;20;-12.96424916
9.47;10.68;15.53;20.03;20.52;21.41;19.72;23.63;25.6;3.3;0.3;80.3;-9.226598217
7.57;12.35;14.49;13.73;17.79;22.18;22.43;19.99;20.01;30.1;39.3;65.1;-0.788947279
5.58;10.91;11.32;13.86;17.39;19.58;21.32;21.28;20.08;68.1;87.8;38.3;4.44870366
11.26;14.33;12.35;14.51;15.34;18.49;17.79;21.89;26.49;57.2;72.9;35.1;3.486354598
8.98;8.2;10.63;17.22;14.44;17.18;21.1;20.58;24.27;87.7;25.7;10.7;2.624005536
11.49;14.91;16.02;20.5;17.35;20.4;20.52;24.48;23.7;1.5;36.8;23.3;-1.738343525
9.59;8.57;13.37;14.12;19.22;20.35;22.11;25.1;24.29;59.4;40.8;65.5;-0.000692587
7.9;10.12;11.31;14.35;15.53;14.18;20.26;23.31;24.65;2.4;29.7;44.4;-2.863041648
7.03;9.82;9.88;13.86;15.24;18.51;16.55;20.36;25.13;43.4;97.7;91.1;6.97460929
7.57;10.91;15.43;14.16;16.47;19.12;21.53;19.54;18.4;21.2;28.4;58.4;-3.667855687
8.83;9.36;11.95;16.42;12.74;15.25;15.98;18.89;19.85;25.7;56.3;36;10.59587095
6.26;10.97;11.6;15.33;17.46;17.91;16.5;21.33;23.45;10.5;1.9;82.9;6.859597577
4.06;8.52;10.07;15.55;19.08;20.28;20.48;21.48;19.37;38.6;3.9;43.6;-18.37667579
