FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
31372.txt,https://www.uni-mainz.de,23,www.uni-mainz.de,16,0,de,100,0.666666667,0.0326503,0.050207214,2,1,0,0,0,9,0.391,0,0,0,0,0,2,0.087,1,618,9381,1,johannes gutenberg-universitÃ¤t mainz,55.55555556,55.55555556,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,50,9,8,39,0,217,1
597387.txt,https://www.voicefmradio.co.uk,29,www.voicefmradio.co.uk,22,0,uk,100,0.866666667,0.028555,0.06412872,2,2,0,0,0,15,0.517,0,0,0,0,0,2,0.069,1,467,682,1,voice fm southampton,46.66666667,46.66666667,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,10,2,7,42,2,5,1
554095.txt,https://www.sfnmjournal.com,26,www.sfnmjournal.com,19,0,com,100,1,0.5229071,0.057605756,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,6356,26824,1,home page: seminars in fetal and neonatal medicine ,0,0,0,1,1,0,0,0,1,12,0,1,1,1,0,0,1,1,1,3,27,15,22,1,31,1
mw42508.txt,http://www.teramill.com,22,www.teramill.com,16,0,com,82.6446281,1,0.5229071,0.06741797,3,1,0,0,0,10,0.455,0,0,0,0,0,1,0.045,0,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
515489.txt,https://www.socialpolicy.org,27,www.socialpolicy.org,20,0,org,100,1,0.0799628,0.064491134,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1043,1037,1,social policy: organizing for social and economic justice,50,50,1,0,0,0,0,1,12,1,0,0,1,1,1,1,0,0,1,16,9,13,92,1,18,1
858208.txt,https://www.aoh61.com,20,www.aoh61.com,13,0,com,100,1,0.5229071,0.055131169,3,1,0,0,0,5,0.25,2,0.1,0,0,0,1,0.05,1,5966,22382,1,0,0,0,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,16,4,7,4,0,14,1
712305.txt,https://www.bulgariaski.com,26,www.bulgariaski.com,19,0,com,100,1,0.5229071,0.055714659,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,2639,1574,1,bulgaria ski - bulgarian ski resorts and holiday bookings.,100,100,1,1,1,0,0,0,0,2,0,1,1,1,0,0,1,0,1,63,12,22,156,2,184,1
252332.txt,https://www.brightika.com,24,www.brightika.com,17,0,com,100,1,0.5229071,0.053754992,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,5509,550,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,14,19,2,1,14,1
862789.txt,https://www.motley.ie,20,www.motley.ie,13,0,ie,100,1,0.0015878,0.061203697,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,2839,8047,1,home | motley,100,100,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,56,10,16,235,0,254,1
561324.txt,https://www.funzine.hu,21,www.funzine.hu,14,0,hu,100,1,0.0022172,0.042916591,2,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,1576,1907,1,funzine,100,100,0,1,1,0,0,1,0,2,0,1,1,1,0,1,0,0,1,52,10,27,0,1,143,1
