FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
498252.txt,https://www.isuog.org,20,www.isuog.org,13,0,org,100,1,0.0799628,0.063697057,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,1374,915,1,isuog,100,100,1,1,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,18,11,14,101,1,92,1
119682.txt,https://www.hostmaster.ua,24,www.hostmaster.ua,17,0,ua,100,1,0.0023239,0.061301406,2,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,312,157,1,hostmaster,100,100,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,13,4,2,37,0,9,1
628494.txt,https://www.bigconstrutora.com.br,32,www.bigconstrutora.com.br,25,0,br,100,0.833333333,0.0094423,0.061808105,2,2,0,0,0,18,0.562,0,0,0,0,0,2,0.062,1,890,186,1,igconstrutoracom,0,0,1,0,0,1,0,1,0,3,0,1,1,0,0,0,0,0,1,31,36,13,42,0,11,1
892196.txt,https://www.iain-ternate.ac.id,29,www.iain-ternate.ac.id,22,0,id,100,0.533333333,0.0014653,0.069546984,2,2,0,0,0,14,0.483,0,0,0,0,0,3,0.103,1,743,419,1,an-ternateac,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,18,6,11,0,1,54,1
mw66913.txt,http://www.l3a40b16a45b1120615b5d1cc655d7da4a.ws,47,www.l3a40b16a45b1120615b5d1cc655d7da4a.ws,41,0,ws,16.60066895,0.264705882,0.0003477,0.020334595,2,1,0,0,0,14,0.298,21,0.447,0,0,0,1,0.021,0,13,244,1,l3a40b16a45b1120615b5d1cc655d7da4a,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
427197.txt,https://www.colorii.com,22,www.colorii.com,15,0,com,100,1,0.5229071,0.076037047,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,1395,1807,1,lorii,71.42857143,71.42857143,1,1,1,1,0,1,0,3,0,1,1,1,0,0,1,0,1,25,11,25,79,3,89,1
mw15920.txt,http://www.pwuxmeudaj.cf,23,www.pwuxmeudaj.cf,17,0,cf,47.33727811,1,0.0001858,0.040425608,2,1,0,0,0,11,0.478,0,0,0,0,0,1,0.043,0,20,210,1,pwuxmeudaj,100,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156188.txt,https://www.elcalifa.com.mx,26,www.elcalifa.com.mx,19,0,mx,100,0.75,0.0017218,0.065653355,2,2,0,0,0,12,0.462,0,0,0,0,0,2,0.077,1,7254,2088,1,elcalifaco,0,0,1,0,1,1,0,0,9,2,0,1,1,0,0,0,1,0,1,41,16,40,43,28,15,1
464697.txt,https://www.art-it.asia,22,www.art-it.asia,15,0,asia,100,0.666666667,0.0002355,0.064677774,4,1,0,0,0,8,0.364,0,0,0,0,0,2,0.091,1,1581,1931,1,art-it,100,100,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,63,15,22,212,0,216,1
8048476.txt,http://forcedie17.temp.swtest.ru/postounatou/postounatou/post/login/login.php,77,forcedie17.temp.swtest.ru,25,0,ru,14.57430296,0.5,0.0180132,0.056989683,2,2,0,0,0,59,0.766,2,0.026,0,0,0,9,0.117,0,183,727,1,forcedie17tempswtestpostounatoupostounatoupostloginloginphp,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,10,4,5,0,0,0,0
30718.txt,https://www.apptha.com,21,www.apptha.com,14,0,com,100,1,0.5229071,0.058382725,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,432,1553,1,apptha,100,100,1,1,0,0,0,1,0,4,0,1,1,0,0,0,1,0,1,3,2,6,50,2,62,1
603896.txt,https://www.zomoplus.store,25,www.zomoplus.store,18,0,store,100,1,0.0003212,0.058490239,5,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,1794,2679,1,zomoplus,100,100,0,0,1,0,0,1,0,19,0,1,1,1,1,1,1,0,1,21,36,18,80,0,39,1
521213.txt,https://www.drskinhealth.com,27,www.drskinhealth.com,20,0,com,100,1,0.5229071,0.055469139,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,2341,16460,1,drskinhealth,100,100,1,0,1,0,0,1,0,2,0,1,1,0,0,0,1,0,1,23,6,18,52,3,19,1
mw56125.txt,http://www.sebastians.cf,23,www.sebastians.cf,17,0,cf,87.34693878,1,0.0001858,0.062814806,2,1,0,0,0,11,0.478,0,0,0,0,0,1,0.043,0,20,211,1,sebastians,100,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534254.txt,https://www.lovebeehive.com,26,www.lovebeehive.com,19,0,com,100,1,0.5229071,0.06233847,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,2654,3979,1,lovebeehive,100,100,1,0,1,0,0,1,0,19,0,1,1,1,1,1,1,0,1,91,4,18,83,5,18,1
8053155.txt,https://acesseonline-fevereiro.net/luiza/?userid=&uri=atzkkwfy5s23fyuju9p+tmvfudyjnultmi2mrlcv9tg=,98,acesseonline-fevereiro.net,26,0,net,13.5341202,0.590909091,0.0384199,0.045335591,3,0,0,0,0,74,0.755,6,0.061,3,1,0,6,0.102,1,2,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160239.txt,https://www.cieletespace.fr,26,www.cieletespace.fr,19,0,fr,100,1,0.0141483,0.064760075,2,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,642,417,1,cieletespace,100,100,1,1,1,0,0,1,2,0,1,1,1,1,0,0,1,0,1,22,4,11,47,4,62,1
534277.txt,https://www.nataschavonhirschhausen.com,38,www.nataschavonhirschhausen.com,31,0,com,100,1,0.5229071,0.059879769,3,1,0,0,0,25,0.658,0,0,0,0,0,1,0.026,1,2722,9379,1,nataschavonhirschhausen,100,100,0,0,1,0,0,1,0,20,0,1,1,1,1,1,1,0,1,120,4,19,175,0,510,1
629945.txt,https://www.borizcustomsportsjerseys.com,39,www.borizcustomsportsjerseys.com,32,0,com,100,1,0.5229071,0.059137082,3,1,0,0,0,26,0.667,0,0,0,0,0,1,0.026,1,663,424,1,borizcustomsportsjerseys,100,100,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,6,13,20,65,0,43,1
768783.txt,https://www.virtualcohen.com,27,www.virtualcohen.com,20,0,com,100,1,0.5229071,0.062070551,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,393,2005,1,virtualhen,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,4,1,2,7,0,1,1
440099.txt,https://www.smujo.id,19,www.smujo.id,12,0,id,100,1,0.0014653,0.053423702,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,570,773,1,smujo,100,100,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,22,0,1,60,0,72,1
8020794.txt,http://otwtmbrotq.duckdns.org,28,otwtmbrotq.duckdns.org,22,0,org,41.10671937,0.611111111,0.0799628,0.051978489,3,1,0,0,0,19,0.679,0,0,0,0,0,2,0.071,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579157.txt,https://www.ecseonline.com,25,www.ecseonline.com,18,0,com,100,1,0.5229071,0.074663503,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,1185,9614,1,ecseonline,100,100,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,38,22,31,132,1,108,1
774906.txt,https://www.kerstopkeukenhof.nl,30,www.kerstopkeukenhof.nl,23,0,nl,100,1,0.0082003,0.053215869,2,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,297,765,1,kerstopkeukehof,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2,7,2,0,3,1
39890.txt,https://www.wp-amazon-plugin.com,31,www.wp-amazon-plugin.com,24,0,com,100,0.4375,0.5229071,0.053092883,3,1,0,0,0,16,0.516,0,0,0,0,0,3,0.097,1,1219,12649,1,wp-amazon-plugin,100,100,0,1,1,0,0,1,0,3,0,1,1,1,0,0,1,0,1,18,3,30,105,11,115,1
228863.txt,https://www.acc.co.nz,20,www.acc.co.nz,13,0,nz,100,0.666666667,0.0019933,0.076658631,2,2,0,0,0,6,0.3,0,0,0,0,0,2,0.1,1,2541,445,1,accco,0,0,1,0,1,0,0,1,0,4,0,1,1,1,0,0,1,0,1,15,2,14,209,0,8,1
382828.txt,https://www.noticiasdealava.eus,30,www.noticiasdealava.eus,23,0,eus,100,1,0.0001069,0.06417545,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,15442,15789,1,noticiasdealava,100,100,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,1,438,6,13,719,0,375,1
244849.txt,https://www.enerjoy.life,23,www.enerjoy.life,16,0,life,100,1,0.0002548,0.054130147,4,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,849,1820,1,enerjoy,100,100,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,28,21,24,37,0,45,1
709017.txt,https://www.qatargenome.org.qa,29,www.qatargenome.org.qa,22,0,qa,100,0.8,0.0000608,0.060330773,2,2,0,0,0,15,0.517,0,0,0,0,0,2,0.069,1,2124,854,1,atargenomeorg,0,0,1,0,1,0,0,0,0,7,0,1,1,1,0,1,0,0,1,94,2,1,115,6,8,1
31713.txt,https://www.idigbio.org,22,www.idigbio.org,15,0,org,100,1,0.0799628,0.059766578,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,711,7533,1,idigbio,100,100,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,44,49,29,56,0,22,1
95918.txt,https://www.energy-community.org,31,www.energy-community.org,24,0,org,100,0.625,0.0799628,0.060297592,3,1,0,0,0,17,0.548,0,0,0,0,0,2,0.065,1,3776,1103,1,energy-community,100,100,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,45,1,20,171,75,11,1
870951.txt,https://www.tcdsu.org,20,www.tcdsu.org,13,0,org,100,1,0.0799628,0.058571081,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,1029,2517,1,tcdsu,100,100,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,18,5,15,91,4,29,1
805256.txt,https://www.biomagazin.de,24,www.biomagazin.de,17,0,de,100,1,0.0326503,0.054307626,2,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,2414,1592,1,biomagazin,100,100,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,50,3,3,172,19,34,1
7994845.txt,https://att-104569.weeblysite.com/,33,att-104569.weeblysite.com,25,0,com,66.69538462,0.80952381,0.5229071,0.044014391,3,1,0,0,0,16,0.485,6,0.182,0,0,0,3,0.091,1,13,101,1,att-104569weeblysite,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
696552.txt,https://www.interislander.co.nz,30,www.interislander.co.nz,23,0,nz,100,0.875,0.0019933,0.065186719,2,2,0,0,0,16,0.533,0,0,0,0,0,2,0.067,1,1832,480,1,iterisladerco,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,1,0,1,38,3,7,105,0,21,1
177967.txt,https://www.reflectionofsanity.com,33,www.reflectionofsanity.com,26,0,com,100,1,0.5229071,0.063444615,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,2614,7353,1,reflectionofsanity,100,100,1,0,0,0,0,0,7,3,0,0,1,1,0,0,0,0,1,33,7,18,119,1,138,1
126584.txt,https://www.fernandoalonso.com,29,www.fernandoalonso.com,22,0,com,100,1,0.5229071,0.069572626,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,638,2562,1,fernandoalonso,100,100,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,27,11,13,46,1,55,1
